epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
5,night,rider,0.4025,0.2254,0.2889,0.2284,0.1061
5,night,traffic light,0.6008,0.5064,0.5496,0.4869,0.1567
5,night,traffic sign,0.6454,0.5942,0.6187,0.6148,0.3105
5,night,truck,0.5455,0.4874,0.5148,0.4533,0.3169
6,day,bike,0.7321,0.2918,0.4173,0.3598,0.1883
6,day,bus,0.5631,0.4224,0.4827,0.4125,0.3171
6,day,car,0.7401,0.7027,0.7209,0.7413,0.4735
6,day,motor,0.5451,0.2748,0.3654,0.2629,0.1387
6,day,person,0.605,0.5428,0.5722,0.552,0.2776
6,day,rider,0.5793,0.264,0.3627,0.2982,0.1701
6,day,traffic light,0.6754,0.4908,0.5685,0.5404,0.2193
6,day,traffic sign,0.6849,0.4953,0.5748,0.5525,0.2941
6,day,truck,0.6196,0.4337,0.5102,0.4587,0.3197
6,night,bike,0.5766,0.3243,0.4152,0.3854,0.1853
6,night,bus,0.4848,0.4198,0.4499,0.3609,0.2753
6,night,car,0.6948,0.6742,0.6843,0.7154,0.405
6,night,motor,0.4187,0.25,0.3131,0.2746,0.128
6,night,person,0.6044,0.5027,0.5489,0.5258,0.2481
6,night,rider,0.5167,0.2676,0.3526,0.2952,0.1583
6,night,traffic light,0.613,0.505,0.5538,0.4924,0.159
6,night,traffic sign,0.6923,0.5686,0.6244,0.6252,0.3264
6,night,truck,0.6244,0.4444,0.5193,0.4618,0.3229
7,day,bike,0.5406,0.3685,0.4383,0.3909,0.2026
7,day,bus,0.5955,0.4237,0.4951,0.432,0.3294
7,day,car,0.781,0.69,0.7326,0.751,0.4826
7,day,motor,0.5151,0.3435,0.4122,0.3308,0.175
7,day,person,0.6816,0.5161,0.5874,0.5686,0.2837
7,day,rider,0.6357,0.3523,0.4534,0.3791,0.2067
7,day,traffic light,0.7468,0.47,0.5769,0.5546,0.2293
7,day,traffic sign,0.6945,0.5002,0.5815,0.5638,0.3002
7,day,truck,0.6601,0.4575,0.5405,0.4986,0.3553
7,night,bike,0.543,0.4048,0.4638,0.4755,0.2633
7,night,bus,0.5546,0.4304,0.4847,0.3999,0.2917
7,night,car,0.7316,0.6512,0.6891,0.717,0.4066
7,night,motor,0.3618,0.3381,0.3496,0.3016,0.1452
7,night,person,0.6909,0.442,0.5391,0.5235,0.2469
7,night,rider,0.4869,0.3521,0.4087,0.2807,0.1271
7,night,traffic light,0.6811,0.4794,0.5627,0.518,0.1695
7,night,traffic sign,0.7172,0.5577,0.6275,0.6273,0.3276
7,night,truck,0.6694,0.4192,0.5156,0.4539,0.3162
8,day,bike,0.7265,0.2458,0.3673,0.3669,0.1892
8,day,bus,0.5142,0.4306,0.4687,0.3871,0.3137
8,day,car,0.7987,0.688,0.7392,0.7467,0.4785
8,day,motor,0.4611,0.2901,0.3561,0.291,0.1396
8,day,person,0.6959,0.5228,0.597,0.5781,0.2901
