epoch,learning_rate,train_loss,val_day_loss,val_night_loss,avg_val_loss,precision_day,precision_night,recall_day,recall_night,f1_day,f1_night,avg_f1,map50_day,map50_night,map5095_day,map5095_night,avg_map50,avg_map5095
28,7.110339092550265e-06,2.549884645652771,2.729362705230713,3.1996444511413573,2.964503578186035,0.6963,0.664,0.5164,0.4999,0.5884,0.5667,0.57755,0.5636,0.5333,0.3269,0.2928,0.54845,0.30985
29,6.619826121028554e-06,2.5408385231018067,2.727814727783203,3.200580467224121,2.964197597503662,0.6943,0.6581,0.5137,0.5007,0.5858,0.5649,0.57535,0.5623,0.534,0.3269,0.2941,0.54815,0.3105
30,6.132601726093831e-06,2.531955306816101,2.730089220046997,3.206942199707031,2.968515709877014,0.7239,0.6514,0.4991,0.505,0.5859,0.565,0.57545,0.5613,0.5344,0.3262,0.2936,0.54785,0.3099
31,5.650841970169395e-06,2.5239695825576782,2.7307163696289063,3.2084061641693116,2.9695612668991087,0.6976,0.6286,0.5055,0.5266,0.582,0.5706,0.5763,0.5602,0.5358,0.3254,0.2963,0.548,0.31085
32,5.176698509274164e-06,2.519513676071167,2.7341004352569582,3.2098312072753905,2.971965821266174,0.7011,0.6659,0.5078,0.4929,0.5845,0.563,0.57375,0.5593,0.5357,0.3258,0.2937,0.5475,0.30974999999999997
33,4.7122889832045704e-06,2.5117734638214113,2.7351550388336183,3.2154978504180907,2.9753264446258543,0.677,0.644,0.5198,0.5148,0.5849,0.5697,0.5772999999999999,0.5616,0.533,0.3268,0.292,0.5473,0.3094
34,4.259687557641174e-06,2.5059525064468384,2.736461883544922,3.2198372592926026,2.9781495714187622,0.6949,0.6446,0.5074,0.5081,0.5839,0.5656,0.57475,0.5593,0.5323,0.3247,0.2924,0.5458000000000001,0.30855
35,3.820915660421204e-06,2.4984917612075805,2.7382399406433104,3.2214338836669922,2.979836912155151,0.7167,0.6371,0.4979,0.5182,0.5841,0.5688,0.5764499999999999,0.561,0.5337,0.3263,0.2933,0.54735,0.30979999999999996
36,3.3979329533511465e-06,2.4958746183395384,2.739764024734497,3.2233713932037356,2.9815677089691164,0.7024,0.6477,0.5072,0.5112,0.5854,0.568,0.5767,0.5601,0.5307,0.3263,0.2909,0.5454,0.3086
37,2.9926285798813894e-06,2.4899771965026853,2.7388280811309813,3.2234768409729004,2.981152461051941,0.7194,0.6453,0.4992,0.5118,0.5849,0.5671,0.5760000000000001,0.5585,0.5272,0.3259,0.2901,0.54285,0.30800000000000005
