model_name,split,loss,precision,recall,f1,map50,map50_95
Student YOLOv8s KD v3 fold1,daytime,2.837302543185084,0.6775,0.479,0.5578,0.5249,0.2968
Student YOLOv8s KD v3 fold1,night,3.2628989203770957,0.6186,0.4588,0.5212,0.4916,0.263
