epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
5,night,traffic light,0.4733,0.5113,0.4915,0.4281,0.1318
5,night,traffic sign,0.6059,0.5321,0.5666,0.551,0.277
5,night,truck,0.5062,0.4322,0.4663,0.4185,0.2831
6,day,bike,0.5001,0.3062,0.3798,0.3457,0.1738
6,day,bus,0.6109,0.381,0.4693,0.3885,0.3091
6,day,car,0.719,0.6618,0.6892,0.7085,0.4475
6,day,motor,0.6227,0.2366,0.3429,0.2543,0.1318
6,day,person,0.6864,0.4453,0.5402,0.5066,0.2465
6,day,rider,0.5116,0.2332,0.3203,0.2812,0.1477
6,day,traffic light,0.6181,0.4311,0.5079,0.4609,0.1815
6,day,traffic sign,0.627,0.4404,0.5174,0.4724,0.2401
6,day,truck,0.5868,0.4577,0.5143,0.4452,0.3126
6,night,bike,0.5116,0.3571,0.4207,0.3305,0.1919
6,night,bus,0.5748,0.3755,0.4543,0.3835,0.2938
6,night,car,0.655,0.6371,0.6459,0.6778,0.3797
6,night,motor,0.6746,0.1923,0.2993,0.2717,0.1107
6,night,person,0.6906,0.3767,0.4875,0.4666,0.2212
6,night,rider,0.5065,0.3099,0.3845,0.2729,0.1469
6,night,traffic light,0.5917,0.4542,0.5139,0.45,0.1361
6,night,traffic sign,0.6778,0.5157,0.5858,0.5717,0.2878
6,night,truck,0.595,0.404,0.4813,0.433,0.304
7,day,bike,0.5326,0.3345,0.4109,0.3564,0.1853
7,day,bus,0.7738,0.3045,0.437,0.3793,0.3052
7,day,car,0.7739,0.6472,0.7049,0.7123,0.4527
7,day,motor,0.6101,0.2061,0.3081,0.2468,0.1326
7,day,person,0.6726,0.46,0.5464,0.5184,0.2502
7,day,rider,0.644,0.2487,0.3588,0.2775,0.1489
7,day,traffic light,0.6329,0.4222,0.5066,0.4579,0.1803
7,day,traffic sign,0.632,0.4436,0.5213,0.4783,0.2482
7,day,truck,0.5126,0.4864,0.4991,0.4394,0.3032
7,night,bike,0.505,0.4251,0.4616,0.4031,0.2219
7,night,bus,0.698,0.3148,0.4339,0.3785,0.2963
7,night,car,0.6942,0.6266,0.6587,0.6802,0.3854
7,night,motor,0.557,0.1935,0.2872,0.2223,0.0989
7,night,person,0.5865,0.4354,0.4997,0.4721,0.2242
7,night,rider,0.5752,0.2817,0.3782,0.2815,0.1374
7,night,traffic light,0.6019,0.4528,0.5168,0.4529,0.1409
7,night,traffic sign,0.6259,0.551,0.5861,0.5721,0.292
7,night,truck,0.5386,0.4422,0.4856,0.4333,0.3004
8,day,bike,0.5922,0.3345,0.4275,0.3831,0.1932
8,day,bus,0.6843,0.3725,0.4824,0.4387,0.3516
8,day,car,0.7266,0.6709,0.6977,0.7103,0.4511
8,day,motor,0.3618,0.2748,0.3123,0.2594,0.1277
8,day,person,0.6632,0.4572,0.5413,0.5079,0.2444
8,day,rider,0.5436,0.2953,0.3827,0.3165,0.1437
8,day,traffic light,0.6277,0.4253,0.507,0.4639,0.1802
8,day,traffic sign,0.6404,0.4342,0.5175,0.4783,0.2418
8,day,truck,0.6587,0.4073,0.5033,0.452,0.3162
8,night,bike,0.4932,0.369,0.4222,0.3381,0.1875
8,night,bus,0.697,0.3951,0.5043,0.4287,0.3245
8,night,car,0.6665,0.648,0.6571,0.6822,0.382
8,night,motor,0.2721,0.3269,0.297,0.2109,0.0839
8,night,person,0.6629,0.4073,0.5045,0.4753,0.2212
8,night,rider,0.5242,0.3099,0.3895,0.2807,0.1416
8,night,traffic light,0.6032,0.4532,0.5175,0.449,0.1384
8,night,traffic sign,0.6983,0.5154,0.5931,0.5784,0.2867
8,night,truck,0.7,0.3418,0.4593,0.4213,0.2849
9,day,bike,0.5065,0.3452,0.4106,0.3627,0.1779
9,day,bus,0.6177,0.3934,0.4806,0.4216,0.3273
9,day,car,0.7288,0.6674,0.6968,0.7101,0.4495
9,day,motor,0.72,0.1985,0.3112,0.2695,0.1364
9,day,person,0.6023,0.4869,0.5385,0.5118,0.249
9,day,rider,0.818,0.2096,0.3337,0.3227,0.1717
9,day,traffic light,0.5971,0.4557,0.5169,0.477,0.188
9,day,traffic sign,0.5755,0.4844,0.526,0.4859,0.2465
9,day,truck,0.5782,0.4678,0.5172,0.4544,0.3184
9,night,bike,0.404,0.3929,0.3984,0.3495,0.1815
9,night,bus,0.6069,0.4288,0.5026,0.434,0.3334
9,night,car,0.6286,0.6623,0.645,0.6796,0.3835
9,night,motor,0.6611,0.2253,0.3361,0.2537,0.1107
9,night,person,0.5243,0.4517,0.4853,0.4708,0.2199
9,night,rider,0.5844,0.1549,0.2449,0.2975,0.1465
9,night,traffic light,0.5414,0.5114,0.526,0.4614,0.1472
9,night,traffic sign,0.5875,0.5844,0.586,0.5811,0.2903
9,night,truck,0.5569,0.447,0.4959,0.4397,0.3033
10,day,bike,0.6288,0.3195,0.4237,0.3793,0.1941
10,day,bus,0.5761,0.4265,0.4901,0.4272,0.3373
10,day,car,0.7443,0.6718,0.7062,0.7197,0.4542
10,day,motor,0.4553,0.2744,0.3424,0.2524,0.1238
10,day,person,0.6033,0.5136,0.5549,0.523,0.2508
10,day,rider,0.6337,0.251,0.3596,0.2964,0.1508
10,day,traffic light,0.6637,0.4343,0.525,0.481,0.1874
10,day,traffic sign,0.7329,0.4031,0.5201,0.4952,0.2527
10,day,truck,0.5744,0.4435,0.5006,0.4434,0.3132
10,night,bike,0.7044,0.3333,0.4525,0.3665,0.1978
10,night,bus,0.5429,0.5,0.5205,0.4485,0.3541
10,night,car,0.7124,0.6307,0.6691,0.6941,0.3914
10,night,motor,0.4248,0.199,0.2711,0.1983,0.0931
10,night,person,0.5499,0.4847,0.5152,0.4878,0.2292
10,night,rider,0.6184,0.2056,0.3086,0.2762,0.1428
10,night,traffic light,0.6235,0.4679,0.5346,0.4739,0.1469
10,night,traffic sign,0.7654,0.4816,0.5912,0.5932,0.2999
10,night,truck,0.5959,0.4293,0.499,0.4517,0.3077
11,day,bike,0.6581,0.3167,0.4276,0.3836,0.1923
11,day,bus,0.5936,0.4306,0.4992,0.4416,0.3276
11,day,car,0.6919,0.6862,0.689,0.7106,0.4543
11,day,motor,0.5393,0.2234,0.316,0.2585,0.1259
11,day,person,0.6824,0.4339,0.5305,0.4964,0.2428
11,day,rider,0.7433,0.2746,0.4011,0.33,0.1662
11,day,traffic light,0.6163,0.4491,0.5196,0.4779,0.1894
11,day,traffic sign,0.6893,0.4397,0.5369,0.5044,0.2587
11,day,truck,0.5451,0.4919,0.5171,0.4591,0.3244
11,night,bike,0.6228,0.3333,0.4342,0.3662,0.2138
11,night,bus,0.609,0.3827,0.47,0.3901,0.2949
11,night,car,0.6112,0.6748,0.6414,0.6799,0.3863
11,night,motor,0.6959,0.25,0.3679,0.324,0.1501
11,night,person,0.6249,0.4035,0.4903,0.4659,0.2211
11,night,rider,0.5291,0.2817,0.3677,0.2828,0.1546
11,night,traffic light,0.548,0.5125,0.5297,0.46,0.1454
11,night,traffic sign,0.6943,0.5281,0.5999,0.5854,0.3025
11,night,truck,0.5477,0.4741,0.5082,0.4483,0.3123
12,day,bike,0.6243,0.337,0.4378,0.3949,0.1917
12,day,bus,0.5414,0.4451,0.4886,0.4369,0.3305
12,day,car,0.7365,0.6766,0.7053,0.7218,0.4583
12,day,motor,0.584,0.2748,0.3737,0.2926,0.1405
12,day,person,0.6166,0.4764,0.5375,0.5212,0.2483
12,day,rider,0.6517,0.32,0.4292,0.3534,0.1825
12,day,traffic light,0.6674,0.4314,0.524,0.4887,0.1918
12,day,traffic sign,0.6632,0.4598,0.5431,0.5102,0.2606
12,day,truck,0.6369,0.4511,0.5281,0.4653,0.3285
12,night,bike,0.6226,0.4125,0.4963,0.4151,0.2326
12,night,bus,0.5488,0.4259,0.4796,0.416,0.3118
12,night,car,0.6419,0.6677,0.6546,0.6957,0.3921
